video_id,view_count,video_size,video_length
00Ysp5gMso4,88565,14464421533,11153
VpKRuMmiQ9I,252584,186806125,862
eJFpcrOf5jQ,70266,491159261,2160
3mP-6a0STPw,757864,5853735374,3902
aGScfF7KcLE,73682,210476439,598
JcqGWoVp-SI,820897,111713383,637
EhDFA_O7zNg,3952646,890219450,2447
A6yTKydLrTo,122573,66062375,406
gir9MpCgbQ0,271555,1801888021,1769
fAcHtJtAebc,65178,119888085,606
nDmhxz8ZNvc,88160,84188777,299
b6LKZF8Ofv0,71267,226127326,1040
NnhEGzASXBg,70748,293252372,1389
923RmfyWrak,57677,96175078,773
9nZLAOEMnU8,32935,11401631,149
hbl9OXHWr6c,173174,112039162,638
YekPgEgws_w,137901,60250945,173
qfc-1WP44qc,66701,365291475,959
89dG5DL-Cd0,109961,152611571,409
VWtCagyNR9A,37238,808881738,5759
a2a0XLRVBsg,949711,2423276947,8125
EZeGpos8ELA,509262,282835869,1143
zIWzVw84Goc,76334,271147273,1320
6BZA2LCo_KQ,61041,22937676079,18764
t4aYWadiXCU,156327,56668987,166
nOz09qVZEaE,109544,58023225,169
fdMqShEgHNc,59581,3446801166,3404
Qh-7Ne1x0r0,26794,65594605,440
wnmFnapAxFU,474581,78812148,426
UgxplLuex0w,1436458,292562468,1955
6SlFdb-k89E,26001,874986648,818
WM52UVGwajk,46563,27569904883,21941
W5IdgYoObBk,19941,225105484,1742
ST80KyDgM3k,61392,35468699,520
Yadh1i4VxEI,38299,90995066,623
n5CjGz72WYM,343963,974616697,714
iF0QBGl6NoY,35413,39399180176,25536
HuzlYAMwwJY,1051767,77123707,267
rum0D13IIqE,32618,212348617,3226
deC46baehL4,218825,522568688,1985
7RLVAeMqq5U,134261,689950568,1748
jmOkX5Fk7Dc,47088,4151363108,2160
S0U5pRzoW-w,66580,158853101,507
7wNYWIc3D9c,95684,9504478343,42900
r9h6QLoV534,17206,1897876435,8660
Sfdso6oW4xc,325774,245605523,601
QyIN8OdIB8Y,644333,119090527,977
X5Zeh45eesc,812284,306098233,182
7XQO2RCsbJA,314518,2046729371,1258
mBxQlPED2zo,355605,558563062,1697
ECpA3eNRBiY,97332,15239286,200
R2DRKdxTYdA,60356,949187527,915
4Xf5X0I90-E,128006,1046542365,7280
cNwuEKIIs5g,40901,432493175,2120
gHMoorcaZjM,26865,2427198763,10240
MJUigLdiB_g,124088,1115773897,2802
DsdOph_QfPg,24389,1493045820,7350
UdG3XPB7vRo,105210,165232744,930
CmF-O5yVlow,49704,117724973,483
BtuilQc4Vaw,52801,122984271,552
LQun0PZfeSg,260763,210153004,1416
5MGTAo_AUxI,136103,377758780,2375
6XlDnlNo3nM,200638,487169147,2622
fpVI0Asjxr4,210558,301187407,1033
TW6pu-Gq1zs,329242,576160265,1453
9N6lzhXrn_w,163604,134567169,486
58_rO-Fw6ic,35460,309695899,3536
Ux_wEgg9MVA,176370,732997260,1014
KlWRD4o5JAs,106600,295798995,1532
y8sHAfxVPHI,91550,1616875020,917
36vANFBwSks,2546734,33340189,134
8crkKPKnbMk,997696,2087941009,2766
G3JJ3tJ7Kf8,509396,2238854051,3074
XlnyMrVt5oE,576711,303802592,1327
EYVX6VVB_Vc,335701,25910132,193
JlGLhq84ffs,328514,149106468,647
HHSbUPxoRtM,852179,3852784,31
yzjTpCgfIII,1818271,28443102,150
6-GgEXQ4Hhw,284072,26398063,247
R_nhXB4X-4U,141120,30511069,230
610t1ApItX4,247904,525510076,2758
KcBi4dz_oVQ,275814,467902480,1065
6Y0AJAVTTZs,118858,15024785091,14503
jXjwWIMTugY,220494,1406230972,2016
d6xCUl7x8B0,101706,516238884,1367
8jlQmW7mnYM,324045,580106699,4462
EQPulT-F02w,186625,1352208209,871
37sUjQu24VY,56552,324958028,5545
ZGB_qmYqA58,88462,580400159,4458
cu46klgVtyU,83200,1732864858,1718
WzEnPM3IW-Y,107672,25394201296,18230
0oBmN3mOvho,89540,277551724,1258
2JLbpLDE92E,173496,2573258,24
A4N0OgECH4k,106018,10217466469,18432
jFxXsenNMYE,1242311,114980973,660
vHeQiqsU-Mg,119624,329069092,1646
gXA9rKG7w1I,33104,5655102,152
XywRBJo8yOQ,545809,1100822001,4869
--4YC7A2ujw,83545,225324521,1437
zOEP-3DCh7M,222630,108808293,774
X0Dok3e-BOE,1188105,282372172,840
hrtWtu0vPqY,35292,873941824,1882
5A_dJvf2dQs,696578,928052193,1208
ZULQzkwSJgg,209435,310826779,174
kPIpw0mPqjs,202710,392148717,920
xGzDNqmILII,236344,1004435909,3922
Xqf9Rj0ecUY,108276,3885454159,2284
BHipSfGhBoo,153856,99353411,827
LsGGX-ln_fs,101510,45134398,941
-Oox2w5sMcA,190176,19678411,310
